Date,Product,Category,Price,Quantity,Total_Sales
2024-04-12,Phone,Electronics,453.09,1,453.09
2024-12-14,Phone,Electronics,263.92,3,791.76
2024-09-27,Laptop,Electronics,303.47,2,606.94
2024-04-16,Phone,Electronics,362.98,2,725.96
2024-03-12,Smart watch,Accessories,112.7,1,112.7
2024-07-07,Phone,Electronics,321.99,4,1287.96
2024-01-21,Headphones,Accessories,292.93,2,585.86
2024-04-12,Headphones,Electronics,141.38,4,565.52
2024-05-01,Headphones,Accessories,474.28,2,948.56
2024-08-02,Headphones,Electronics,319.49,4,1277.96
2024-11-26,Smart watch,Electronics,362.65,3,1087.9499999999998
2024-03-28,Tablet,Accessories,446.21,4,1784.84
2024-04-09,Laptop,Accessories,330.96,3,992.8799999999999
2024-12-25,Headphones,Accessories,183.04,3,549.12
2024-05-31,Phone,Electronics,97.47,4,389.88
2024-05-10,Headphones,Accessories,255.44,3,766.3199999999999
2024-05-29,Phone,Electronics,148.3,1,148.3
2024-11-04,Phone,Electronics,237.43,3,712.29
2024-09-14,Headphones,Accessories,447.48,2,894.96
2024-12-09,Smart watch,Accessories,195.96,4,783.84
2024-10-20,Phone,Electronics,104.94,1,104.94
2024-07-10,Phone,Electronics,210.33,4,841.32
2024-10-03,Headphones,Accessories,458.07,2,916.14
2024-06-09,Phone,Accessories,172.46,2,344.92
2024-11-09,Phone,Accessories,341.46,2,682.92
2024-01-22,Headphones,Electronics,50.23,3,150.69
2024-09-09,Headphones,Electronics,208.66,3,625.98
2024-08-23,Laptop,Electronics,187.15,4,748.6
2024-12-10,Smart watch,Electronics,124.1,4,496.4
2024-02-18,Smart watch,Electronics,290.34,1,290.34
2024-02-28,Phone,Electronics,268.17,1,268.17
2024-06-18,Smart watch,Accessories,361.6,4,1446.4
2024-07-06,Phone,Electronics,171.24,3,513.72
2024-09-27,Laptop,Electronics,159.86,2,319.72
2024-07-08,Headphones,Electronics,125.73,4,502.92
2024-06-23,Headphones,Accessories,148.44,1,148.44
2024-02-20,Headphones,Electronics,301.15,3,903.4499999999999
2024-12-29,Smart watch,Electronics,231.73,4,926.92
2024-02-24,Laptop,Accessories,79.2,4,316.8
2024-08-31,Smart watch,Electronics,164.26,3,492.78
2024-11-15,Smart watch,Electronics,161.09,4,644.36
2024-05-10,Laptop,Electronics,363.34,3,1090.02
2024-11-02,Laptop,Electronics,370.52,2,741.04
2024-05-14,Laptop,Electronics,116.64,3,349.92
2024-01-21,Laptop,Accessories,498.98,3,1496.94
2024-11-24,Headphones,Accessories,170.05,3,510.15000000000003
2024-06-15,Tablet,Accessories,489.48,4,1957.92
2024-09-30,Tablet,Electronics,234.97,4,939.88
2024-03-29,Laptop,Electronics,64.87,3,194.61
2024-11-11,Tablet,Electronics,205.28,4,821.12
